caseid,year,id,age,sex,educ,degree,rincome,gunlaw,gunsales
"20063816",2006,3816,58,2,8,0,9,0,0
"20063817",2006,3817,63,1,4,0,10,0,0
"20063818",2006,3818,42,1,12,1,0,0,0
"20063819",2006,3819,62,1,12,1,3,0,0
"20063820",2006,3820,73,1,12,1,13,0,4
"20063821",2006,3821,51,2,14,2,12,0,0
"20063822",2006,3822,30,2,16,3,12,0,3
"20063823",2006,3823,28,2,16,3,6,1,0
"20063824",2006,3824,51,2,18,4,12,1,1
"20063825",2006,3825,53,2,16,3,12,0,1
"20063826",2006,3826,56,1,12,1,12,0,0
"20063827",2006,3827,74,2,14,1,12,1,0
"20063828",2006,3828,48,2,12,1,1,1,1
"20063829",2006,3829,63,2,6,0,0,1,1
"20063830",2006,3830,60,1,16,3,13,1,0
"20063831",2006,3831,37,2,15,1,12,0,0
"20063832",2006,3832,56,1,12,1,12,0,0
"20063833",2006,3833,57,1,14,1,12,0,0
"20063834",2006,3834,89,1,12,1,0,1,0
"20063835",2006,3835,37,1,17,3,2,1,0
"20063836",2006,3836,63,2,17,3,13,2,0
"20063837",2006,3837,38,2,14,2,12,0,0
"20063838",2006,3838,57,1,16,3,12,0,0
"20063839",2006,3839,27,1,12,1,12,2,3
"20063840",2006,3840,43,2,14,2,12,0,0
"20063841",2006,3841,47,2,14,2,12,1,0
"20063842",2006,3842,52,2,16,3,12,0,0
"20063843",2006,3843,58,1,16,3,12,0,0
"20063844",2006,3844,30,2,16,3,13,0,0
"20063845",2006,3845,37,1,12,1,12,0,2
"20063846",2006,3846,43,2,16,3,12,0,0
"20063847",2006,3847,79,2,13,1,0,0,0
"20063848",2006,3848,57,2,12,1,4,0,0
"20063849",2006,3849,21,1,14,1,9,1,0
"20063850",2006,3850,56,1,13,1,12,1,2
"20063851",2006,3851,46,2,14,1,9,1,1
"20063852",2006,3852,60,2,16,3,13,1,0
"20063853",2006,3853,75,2,2,0,0,1,8
"20063854",2006,3854,27,2,13,1,10,2,0
"20063855",2006,3855,37,1,14,1,12,0,0
"20063856",2006,3856,41,2,17,3,0,1,0
"20063857",2006,3857,66,2,15,1,9,0,0
"20063858",2006,3858,37,2,16,2,12,2,2
"20063859",2006,3859,33,2,16,3,12,0,0
"20063860",2006,3860,61,1,16,3,0,0,0
"20063861",2006,3861,46,1,12,1,12,0,0
"20063862",2006,3862,58,2,12,1,4,1,0
"20063863",2006,3863,51,2,17,3,12,0,4
"20063864",2006,3864,36,2,12,1,10,1,0
"20063865",2006,3865,55,1,12,1,0,0,0
"20063866",2006,3866,89,2,12,1,0,2,5
"20063867",2006,3867,64,2,8,0,0,1,0
"20063868",2006,3868,53,1,12,1,0,0,1
"20063869",2006,3869,44,2,12,1,9,0,0
"20063870",2006,3870,20,2,11,0,0,1,0
"20063871",2006,3871,66,2,12,1,0,1,0
"20063872",2006,3872,59,1,4,0,98,1,0
"20063873",2006,3873,62,1,5,0,0,1,1
"20063874",2006,3874,26,2,12,1,0,0,1
"20063875",2006,3875,25,1,9,1,11,0,0
"20063876",2006,3876,26,1,12,1,11,0,2
"20063877",2006,3877,53,1,12,1,11,0,0
"20063878",2006,3878,30,2,13,1,0,0,0
"20063879",2006,3879,58,1,16,3,0,2,0
