CASEID,ABANY,ABFIRM,ABIMP,ABINFO
"1982 868",2,4,2,3
"1982 869",8,2,4,4
"1982 870",2,3,3,4
"1982 871",1,2,2,3
"1982 872",1,4,2,1
"1982 873",1,4,2,1
"1982 874",2,2,3,3
"1982 875",2,3,2,3
"1982 876",2,4,2,3
"1982 877",2,3,2,2
"1982 878",2,4,1,1
"1982 879",1,4,4,2
"1982 880",2,3,3,3
"1982 881",2,4,4,1
"1982 882",2,4,2,2
"1982 883",2,3,2,3
"1982 884",2,8,3,1
"1982 885",1,4,4,1
"1982 886",1,4,4,4
"1982 887",2,4,2,3
"1982 888",2,4,2,1
"1982 889",2,4,2,2
"1982 890",1,3,2,1
"1982 891",2,4,2,1
"1982 892",2,4,1,2
"1982 893",2,3,3,3
"1982 894",1,4,1,2
"1982 895",1,4,3,1
"1982 896",2,4,1,1
"1982 897",1,4,2,1
"1982 898",2,4,4,4
"1982 899",8,3,3,3
"1982 900",1,4,2,2
"1982 901",1,4,4,3
"1982 902",2,3,4,3
"1982 903",2,8,4,4
"1982 904",2,4,3,3
"1982 905",1,3,3,1
"1982 906",2,4,2,2
"1982 907",1,4,1,2
"1982 908",1,4,4,1
"1982 909",2,4,2,2
"1982 910",1,3,2,3
"1982 911",1,4,2,4
"1982 912",9,9,9,9
"1982 913",1,4,2,1
"1982 914",2,4,2,2
"1982 915",2,4,2,1
"1982 916",2,3,1,2
"1982 917",1,4,4,1
"1982 918",1,4,1,3
"1982 919",2,3,2,3
"1982 920",2,4,3,8
"1982 921",1,2,2,2
"1982 922",2,2,2,3
"1982 923",1,2,3,4
"1982 924",2,4,3,4
"1982 925",2,4,1,2
"1982 926",8,2,3,3
"1982 927",1,4,4,3
"1982 928",2,4,2,3
"1982 929",2,3,3,2
"1982 930",2,4,1,1
"1982 931",2,4,2,3
"1982 932",1,2,2,3
"1982 933",8,4,4,1
"1982 934",2,4,2,1
"1982 935",2,4,3,4
"1982 936",1,3,2,1
"1982 937",1,4,4,4
"1982 938",2,4,3,3
"1982 939",1,3,3,3
"1982 940",2,4,2,2
"1982 941",1,3,3,3
"1982 942",1,4,3,3
"1982 943",1,8,3,2
"1982 944",2,4,1,3
"1982 945",8,2,3,4
"1982 946",2,3,3,3
"1982 947",2,1,2,3
"1982 948",2,3,3,3
"1982 949",2,2,2,3
"1982 950",1,4,2,1
"1982 951",1,4,1,1
"1982 952",2,4,4,1
"1982 953",2,4,1,3
"1982 954",1,3,2,3
"1982 955",2,4,1,1
"1982 956",1,4,4,3
"1982 957",1,4,2,3
"1982 958",2,4,3,3
"1982 959",1,3,3,3
"1982 960",1,4,2,2
"1982 961",2,4,2,3
"1982 962",2,4,3,2
"1982 963",2,4,1,1
"1982 964",1,4,3,2
"1982 965",2,4,3,1
"1982 966",2,4,2,3
"1982 967",8,3,2,3
"1982 968",2,4,2,3
"1982 969",1,8,4,4
"1982 970",2,3,3,3
"1982 971",2,3,3,3
"1982 972",1,4,4,4
"1982 973",1,2,2,3
"1982 974",2,3,3,4
"1982 975",1,4,4,1
